itemNum	compF	warmF	comp	warm	zCompF	zWarmF	zComp	zWarm	item
10	53.3595855571091	60.2000550396348	73.4754098360656	82.6666666666667	0.179892239531824	1.09820283305348	0.654776492606429	1.33597556324322	a mother
11	44.6844420392936	52.5818824575775	61.2857142857143	66.0307692307692	-0.371597642644264	0.861532397775699	0.0532582317587257	0.692439018312325	a nun
12	25.802663665448	-15.1827527257163	16.2280701754386	13.6896551724138	-1.57193625482775	-1.24368188196427	-2.17017676800439	-1.33230415101409	a pedophile
13	54.19351820968	22.8841646497967	61.4754098360656	34.4761904761905	0.232906396515471	-0.0610736110299304	0.0626190346652894	-0.528205955408992	a police officer
14	28.9505178513232	-21.2656513630737	23.3709677419355	11.2539682539683	-1.37182316960781	-1.43265663315917	-1.81770009589516	-1.42652531041169	a rapist
15	63.5708543603495	30.1890365077525	72.671875	45.7704918032787	0.829035555443854	0.165863647695702	0.61512489711545	-0.0913016235898344	a soldier
16	59.2769158957579	55.0651952002524	82.6984126984127	73.8983050847458	0.556064438246088	0.938680388505654	1.10989898673571	0.996783695844588	a teacher
17	57.2856445957241	-33.0607684673601	42.3225806451613	7.61538461538461	0.429476794781627	-1.79909037683659	-0.882505185840271	-1.56727885570366	a terrorist
2	50.887587312042	14.5046355873049	61.3809523809524	47.796875	0.0227441741295791	-0.32139677505403	0.0579578941233379	-0.0129138091572844	a celebrity
3	56.8239015582515	3.80102457515424	47.3538461538462	31.4153846153846	0.400123203938036	-0.653921176411934	-0.634230069686124	-0.6466089712942	a congressman
37	52.119010213679	-22.221230537413	42.55	14.6969696969697	0.101027290661089	-1.46234319338043	-0.871282846919612	-1.29333759022052	a thief
38	48.3619691028808	40.3705781277821	68.2857142857143	62.828125	-0.137812580433817	0.48216914761135	0.398683415557724	0.568549182440604	an adult
39	83.4718456017805	-32.8030002749838	60.6515151515151	10.1428571428571	2.09416682299987	-1.79108240515659	0.0219627528307398	-1.46950709773239	an assassin
4	30.1185716450594	-4.17277653663825	33.864406779661	20.7586206896552	-1.29756850768089	-0.901639767664536	-1.29988608042517	-1.05885105581858	a convict
40	73.5765434255913	38.2969148217013	90.6875	58.7	1.46510990653082	0.417747556739856	1.50413212238385	0.408858410735654	an astronaut
41	37.059313982581	49.2476760586366	62.0491803278689	68.6031746031746	-0.856336709489467	0.757950066023085	0.0909325743209451	0.79194894086975	an elderly person
42	70.2509917134955	34.2706609639298	83.171875	55.5901639344262	1.25370036407105	0.292665689298055	1.13326267281395	0.288558729600184	an olympian
43	45.6951663481461	58.3775847482368	74.453125	77.0967741935484	-0.307344615722364	1.04158494569269	0.703023269778588	1.12051202293234	your friend
44	47.4918660014359	55.5989566338428	65.8225806451613	68.4444444444444	-0.193126138752646	0.955262521485925	0.277136502627793	0.785808685538221	your grandfather
45	48.765603459258	63.6423791616683	74.75	82.5238095238095	-0.112153032187317	1.20514401081673	0.717672998555778	1.33044933344485	your mother
46	43.547835626338	46.7322406264094	68.1230769230769	66.4	-0.443853154668269	0.679804133747867	0.390657838288924	0.706722196868127	your cousin
47	43.3069709531504	53.7190185377809	65.953125	69.1230769230769	-0.459165227599837	0.896859306975115	0.283578403736948	0.812060638717174	your sibling
48	12.274207915491	7.90718719059348	24.3934426229508	25.728813559322	-2.43195735444951	-0.526356818549233	-1.76724458536594	-0.866586060238373	an addict
5	52.028375019051	50.949782739842	70.4153846153846	71.258064516129	0.0952654963226117	0.810828669755284	0.503775096280244	0.894649663108389	a father
6	44.9240768990236	-19.0352005616876	34.5322580645161	13.7704918032787	-0.356363750514829	-1.36336419375276	-1.26692998716496	-1.32917709842609	a gang member
7	75.215619814075	22.798657355749	79.7741935483871	40.45	1.56930807253305	-0.0637300287316453	0.965599138540543	-0.297117446006897	a judge
9	61.2613492193979	57.5553695736097	83.8333333333333	78.8	0.682217382873812	1.01604154651461	1.16590329658067	1.18639894336718	a mentor
