exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item	Is_are	you_holder	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
charityYou2	100	you	1	21	1	680	0	k	W	150	0	hearingAids	fifty	an astronaut	is	you	XorY	s	Keep	1480	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	22	1	680	0	k	W	150	0	legalFees	fifty	a thief	is	you	XorY	l	Donate	1628	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	23	1	680	0	k	W	150	0	hearingAids	fifty	a judge	is	you	XorY	l	Donate	1592	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	24	1	680	0	k	W	150	0	hearingAids	fifty	a rapist	is	you	XorY	l	Donate	1003	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	25	1	680	0	k	W	150	0	legalFees	fifty	your mother	is	you	XorY	s	Keep	973	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	26	1	680	0	k	W	150	0	physicalTherapy	fifty	a father	is	you	XorY	s	Keep	1046	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	27	1	680	0	k	W	150	0	bucketList	fifty	your friend	is	you	XorY	s	Keep	702	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	28	1	680	0	k	W	150	0	medicalTreatment	fifty	a nun	is	you	XorY	l	Donate	2000	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	29	1	680	0	k	W	150	0	serviceDog	fifty	a gang member	is	you	XorY	l	Donate	919	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	30	1	680	0	k	W	150	0	paralysis	fifty	your sibling	is	you	XorY	s	Keep	885	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	31	1	680	0	k	W	150	0	paralysis	fifty	a rapist	is	you	XorY	l	Donate	697	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	32	1	680	0	k	W	150	0	paralysis	fifty	a judge	is	you	XorY	l	Donate	1106	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	33	1	680	0	k	W	150	0	serviceDog	fifty	your grandfather	is	you	XorY	s	Keep	782	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	34	1	680	0	k	W	150	0	physicalTherapy	fifty	a pedophile	is	you	XorY	l	Donate	1083	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	35	1	680	0	k	W	150	0	burntHouse	fifty	a pedophile	is	you	XorY	l	Donate	912	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	36	1	680	0	k	W	150	0	bucketList	fifty	an addict	is	you	XorY	l	Donate	732	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	37	1	680	0	k	W	150	0	legalFees	fifty	a mentor	is	you	XorY	s	Keep	1255	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	38	1	680	0	k	W	150	0	medicalTreatment	fifty	your sibling	is	you	XorY	s	Keep	822	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	39	1	680	0	k	W	150	0	paralysis	fifty	a pedophile	is	you	XorY	l	Donate	740	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	40	1	680	0	k	W	150	0	physicalTherapy	fifty	an Olympian	is	you	XorY	s	Keep	972	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	41	1	680	0	k	W	150	0	serviceDog	fifty	a rapist	is	you	XorY	l	Donate	717	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	42	1	680	0	k	W	150	0	bucketList	fifty	an Olympian	is	you	XorY	s	Keep	783	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	43	1	680	0	k	W	150	0	legalFees	fifty	an astronaut	is	you	XorY	s	Keep	711	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	44	1	680	0	k	W	150	0	physicalTherapy	fifty	a mentor	is	you	XorY	s	Keep	783	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	45	1	680	0	k	W	150	0	surgery	fifty	your grandfather	is	you	XorY	s	Keep	611	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	46	1	680	0	k	W	150	0	medicalTreatment	fifty	a terrorist	is	you	XorY	l	Donate	741	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	47	1	680	0	k	W	150	0	medicalTreatment	fifty	a nun	is	you	XorY	l	Donate	1478	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	48	1	680	0	k	W	150	0	serviceDog	fifty	your sibling	is	you	XorY	s	Keep	613	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	49	1	680	0	k	W	150	0	bucketList	fifty	a rapist	is	you	XorY	l	Donate	679	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	50	1	680	0	k	W	150	0	physicalTherapy	fifty	an Olympian	is	you	XorY	s	Keep	947	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	51	1	680	0	k	W	150	0	bucketList	fifty	your sibling	is	you	XorY	s	Keep	925	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	52	1	680	0	k	W	150	0	serviceDog	fifty	your friend	is	you	XorY	s	Keep	663	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	53	1	680	0	k	W	150	0	legalFees	fifty	a convict	is	you	XorY	l	Donate	1021	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	54	1	680	0	k	W	150	0	bucketList	fifty	an Olympian	is	you	XorY	s	Keep	746	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	55	1	680	0	k	W	150	0	burntHouse	fifty	an elderly person	is	you	XorY	s	Keep	731	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	56	1	680	0	k	W	150	0	hearingAids	fifty	a mentor	is	you	XorY	s	Keep	942	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	57	1	680	0	k	W	150	0	surgery	fifty	an assassin	is	you	XorY	l	Donate	816	0	0	0	0	N/A	-1	visible
charityYou2	100	you	1	58	1	680	0	k	W	150	0	paralysis	fifty	an addict	is	you	XorY	l	Donate	772	0	0	0	0	N/A	-1	visible
